Id,SalePrice
1461,140465.0
1462,150050.0
1463,175940.0
1464,181840.0
1465,202566.5
1466,177290.0
1467,172190.0
1468,170882.5
1469,178665.0
1470,118250.0
1471,202765.0
1472,92300.0
1473,95040.0
1474,149945.0
1475,136390.0
1476,462293.1659999989
1477,269720.1
1478,292385.2
1479,239654.6
1480,414449.5744999992
1481,352612.9914999997
1482,203790.0
1483,178128.5
1484,176686.9
1485,168332.2
1486,209717.5
1487,366883.1914999997
1488,251797.0
1489,219464.0
1490,191950.0
1491,185358.5
1492,106280.0
1493,182473.5
1494,315590.0
1495,313247.0
1496,224423.7
1497,169030.5
1498,156190.4
1499,159555.6
1500,137943.3
1501,181348.5
1502,148814.5
1503,304309.3
1504,234627.5
1505,221617.8
1506,192140.0
1507,216212.4
1508,197950.0
1509,164990.0
1510,147890.0
1511,146770.0
1512,167550.0
1513,163333.2
1514,168320.0
1515,179575.0
1516,169390.0
1517,149473.7
1518,128565.3
1519,223479.8
1520,133070.0
1521,130310.0
1522,169140.0
1523,122125.8
1524,130525.0
1525,127340.0
1526,137260.0
1527,97420.0
1528,136715.0
1529,134595.0
1530,176115.0
1531,131790.0
1532,106950.0
1533,158000.0
1534,120890.0
1535,155138.4
1536,104145.0
1537,86620.0
1538,197415.0
1539,284481.3
1540,138428.0
1541,158920.9
1542,149530.0
1543,232180.0
1544,76250.0
1545,110540.0
1546,118190.0
1547,141250.0
1548,146553.4
1549,105346.0
1550,135700.0
1551,112700.0
1552,150041.4
1553,152147.5
1554,106800.0
1555,166400.0
1556,89500.0
1557,105389.3
1558,99265.0
1559,123670.8
1560,151090.0
1561,159157.4
1562,127685.0
1563,120640.0
1564,162900.0
1565,151555.0
1566,200600.0
1567,85100.0
1568,226450.0
1569,158670.0
1570,129905.0
1571,132068.4
1572,142982.5
1573,246872.8
1574,123543.2
1575,227507.2
1576,206390.0
1577,223282.0
1578,135245.0
1579,142040.0
1580,194250.0
1581,141160.0
1582,127980.0
1583,341939.4
1584,248980.0
1585,141620.0
1586,76240.0
1587,88069.3
1588,134040.0
1589,114970.0
1590,125530.0
1591,101350.0
